date,start_time,stop_time,algae_id,species,sample_id,file_id_csv,light_dark,run_block,blank,chamber_channel,light_level,light_value
2026-02-02,16:19,16:34,DA01T,da,DA01T_TPI,DA01T_TPI_RUN1_O2.csv,light,run1,0,8,7,602
2026-02-02,16:19,16:34,CS02T,cs,CS02T_TPI,CS02T_TPI_RUN1_O2.csv,light,run1,0,9,7,602
2026-02-02,16:19,16:34,GS04T,gs,GS04T_TPI,GS04T_TPI_RUN1_O2.csv,light,run1,0,10,7,602
2026-02-02,16:19,16:34,SF02T,sf,SF02T_TPI,SF02T_TPI_RUN1_O2.csv,light,run1,0,11,7,602
2026-02-02,16:19,16:34,AV03T,av,AV03T_TPI,AV03T_TPI_RUN1_O2.csv,light,run1,0,12,7,602
2026-02-02,16:42,16:57,DA04T,da,DA04T_TPI,DA04T_TPI_RUN1_O2.csv,light,run1,0,1,8,710
2026-02-02,16:42,16:57,GS02T,gs,GS02T_TPI,GS02T_TPI_RUN1_O2.csv,light,run1,0,2,8,710
2026-02-02,16:42,16:57,AS03T,as,AS03T_TPI,AS03T_TPI_RUN1_O2.csv,light,run1,0,3,8,710
2026-02-02,16:42,16:57,SF01T,sf,SF01T_TPI,SF01T_TPI_RUN1_O2.csv,light,run1,0,4,8,710
2026-02-02,16:42,16:57,AV02T,av,AV02T_TPI,AV02T_TPI_RUN1_O2.csv,light,run1,0,5,8,710
2026-02-02,16:42,16:57,BLANKAT01_RUN1,blank,BLANKAT01_TPI_RUN1,BLANKAT01_TPI_RUN1_O2.csv,light,run1,1,6,8,710
2026-02-02,16:42,16:57,BLANKAT02_RUN1,blank,BLANKAT02_TPI_RUN1,BLANKAT02_TPI_RUN1_O2.csv,light,run1,1,7,8,710
2026-02-02,16:42,16:57,DA01T,da,DA01T_TPI,DA01T_TPI_RUN1_O2.csv,light,run1,0,8,8,710
2026-02-02,16:42,16:57,CS02T,cs,CS02T_TPI,CS02T_TPI_RUN1_O2.csv,light,run1,0,9,8,710
2026-02-02,16:42,16:57,GS04T,gs,GS04T_TPI,GS04T_TPI_RUN1_O2.csv,light,run1,0,10,8,710
2026-02-02,16:42,16:57,SF02T,sf,SF02T_TPI,SF02T_TPI_RUN1_O2.csv,light,run1,0,11,8,710
2026-02-02,16:42,16:57,AV03T,av,AV03T_TPI,AV03T_TPI_RUN1_O2.csv,light,run1,0,12,8,710
2026-02-03,12:10,12:25,AS01T,as,AS01T_TPI,AS01T_TPI_RUN2_O2.csv,light,run2,0,1,1,0
2026-02-03,12:10,12:25,CS04T,cs,CS04T_TPI,CS04T_TPI_RUN2_O2.csv,light,run2,0,2,1,0
2026-02-03,12:10,12:25,DA03T,da,DA03T_TPI,DA03T_TPI_RUN2_O2.csv,light,run2,0,3,1,0
2026-02-03,12:10,12:25,SF03T,sf,SF03T_TPI,SF03T_TPI_RUN2_O2.csv,light,run2,0,4,1,0
2026-02-03,12:10,12:25,BLANKAT01_RUN2,blank,BLANKAT01_TPI_RUN2,BLANKAT01_TPI_RUN2_O2.csv,light,run2,1,5,1,0
2026-02-03,12:10,12:25,AV01T,av,AV01T_TPI,AV01T_TPI_RUN2_O2.csv,light,run2,0,6,1,0
2026-02-03,12:10,12:25,SF04T,sf,SF04T_TPI,SF04T_TPI_RUN2_O2.csv,light,run2,0,7,1,0
2026-02-03,12:10,12:25,CS01T,cs,CS01T_TPI,CS01T_TPI_RUN2_O2.csv,light,run2,0,8,1,0
2026-02-03,12:10,12:25,BLANKAT02_RUN2,blank,BLANKAT02_TPI_RUN2,BLANKAT02_TPI_RUN2_O2.csv,light,run2,1,9,1,0
2026-02-03,12:10,12:25,AV04T,av,AV04T_TPI,AV04T_TPI_RUN2_O2.csv,light,run2,0,10,1,0
2026-02-03,12:10,12:25,GS01T,gs,GS01T_TPI,GS01T_TPI_RUN2_O2.csv,light,run2,0,11,1,0
2026-02-03,12:10,12:25,AS02T,as,AS02T_TPI,AS02T_TPI_RUN2_O2.csv,light,run2,0,12,1,0
2026-02-03,12:28,12:43,AS01T,as,AS01T_TPI,AS01T_TPI_RUN2_O2.csv,light,run2,0,1,2,98
2026-02-03,12:28,12:43,CS04T,cs,CS04T_TPI,CS04T_TPI_RUN2_O2.csv,light,run2,0,2,2,98
2026-02-03,12:28,12:43,DA03T,da,DA03T_TPI,DA03T_TPI_RUN2_O2.csv,light,run2,0,3,2,98
2026-02-03,12:28,12:43,SF03T,sf,SF03T_TPI,SF03T_TPI_RUN2_O2.csv,light,run2,0,4,2,98
2026-02-03,12:28,12:43,BLANKAT01_RUN2,blank,BLANKAT01_TPI_RUN2,BLANKAT01_TPI_RUN2_O2.csv,light,run2,1,5,2,98
2026-02-03,12:28,12:43,AV01T,av,AV01T_TPI,AV01T_TPI_RUN2_O2.csv,light,run2,0,6,2,98
2026-02-03,12:28,12:43,SF04T,sf,SF04T_TPI,SF04T_TPI_RUN2_O2.csv,light,run2,0,7,2,98
2026-02-03,12:28,12:43,CS01T,cs,CS01T_TPI,CS01T_TPI_RUN2_O2.csv,light,run2,0,8,2,98
2026-02-03,12:28,12:43,BLANKAT02_RUN2,blank,BLANKAT02_TPI_RUN2,BLANKAT02_TPI_RUN2_O2.csv,light,run2,1,9,2,98
2026-02-03,12:28,12:43,AV04T,av,AV04T_TPI,AV04T_TPI_RUN2_O2.csv,light,run2,0,10,2,98
