date,start_time,stop_time,algae_id,species,sample_id,file_id_csv,light_dark,run_block,blank,chamber_channel,light_level,light_value
2026-02-02,16:00,16:15,CS02,cs,CS02_PI,CS02_PI_RUN1_O2.csv,light,run1,0,9,6,510
2026-02-02,16:00,16:15,GS04,gs,GS04_PI,GS04_PI_RUN1_O2.csv,light,run1,0,10,6,510
2026-02-02,16:00,16:15,SF02,sf,SF02_PI,SF02_PI_RUN1_O2.csv,light,run1,0,11,6,510
2026-02-02,16:00,16:15,AV03,av,AV03_PI,AV03_PI_RUN1_O2.csv,light,run1,0,12,6,510
2026-02-02,16:19,16:34,DA04,da,DA04_PI,DA04_PI_RUN1_O2.csv,light,run1,0,1,7,602
2026-02-02,16:19,16:34,GS02,gs,GS02_PI,GS02_PI_RUN1_O2.csv,light,run1,0,2,7,602
2026-02-02,16:19,16:34,AS03,as,AS03_PI,AS03_PI_RUN1_O2.csv,light,run1,0,3,7,602
2026-02-02,16:19,16:34,SF01,sf,SF01_PI,SF01_PI_RUN1_O2.csv,light,run1,0,4,7,602
2026-02-02,16:19,16:34,AV02,av,AV02_PI,AV02_PI_RUN1_O2.csv,light,run1,0,5,7,602
2026-02-02,16:19,16:34,BLANKA01_RUN1,blank,BLANKA01_PI_RUN1,BLANKA01_PI_RUN1_O2.csv,light,run1,1,6,7,602
2026-02-02,16:19,16:34,BLANKA02_RUN1,blank,BLANKA02_PI_RUN1,BLANKA02_PI_RUN1_O2.csv,light,run1,1,7,7,602
2026-02-02,16:19,16:34,DA01,da,DA01_PI,DA01_PI_RUN1_O2.csv,light,run1,0,8,7,602
2026-02-02,16:19,16:34,CS02,cs,CS02_PI,CS02_PI_RUN1_O2.csv,light,run1,0,9,7,602
2026-02-02,16:19,16:34,GS04,gs,GS04_PI,GS04_PI_RUN1_O2.csv,light,run1,0,10,7,602
2026-02-02,16:19,16:34,SF02,sf,SF02_PI,SF02_PI_RUN1_O2.csv,light,run1,0,11,7,602
2026-02-02,16:19,16:34,AV03,av,AV03_PI,AV03_PI_RUN1_O2.csv,light,run1,0,12,7,602
2026-02-02,16:42,16:57,DA04,da,DA04_PI,DA04_PI_RUN1_O2.csv,light,run1,0,1,8,710
2026-02-02,16:42,16:57,GS02,gs,GS02_PI,GS02_PI_RUN1_O2.csv,light,run1,0,2,8,710
2026-02-02,16:42,16:57,AS03,as,AS03_PI,AS03_PI_RUN1_O2.csv,light,run1,0,3,8,710
2026-02-02,16:42,16:57,SF01,sf,SF01_PI,SF01_PI_RUN1_O2.csv,light,run1,0,4,8,710
2026-02-02,16:42,16:57,AV02,av,AV02_PI,AV02_PI_RUN1_O2.csv,light,run1,0,5,8,710
2026-02-02,16:42,16:57,BLANKA01_RUN1,blank,BLANKA01_PI_RUN1,BLANKA01_PI_RUN1_O2.csv,light,run1,1,6,8,710
2026-02-02,16:42,16:57,BLANKA02_RUN1,blank,BLANKA02_PI_RUN1,BLANKA02_PI_RUN1_O2.csv,light,run1,1,7,8,710
2026-02-02,16:42,16:57,DA01,da,DA01_PI,DA01_PI_RUN1_O2.csv,light,run1,0,8,8,710
2026-02-02,16:42,16:57,CS02,cs,CS02_PI,CS02_PI_RUN1_O2.csv,light,run1,0,9,8,710
2026-02-02,16:42,16:57,GS04,gs,GS04_PI,GS04_PI_RUN1_O2.csv,light,run1,0,10,8,710
2026-02-02,16:42,16:57,SF02,sf,SF02_PI,SF02_PI_RUN1_O2.csv,light,run1,0,11,8,710
2026-02-02,16:42,16:57,AV03,av,AV03_PI,AV03_PI_RUN1_O2.csv,light,run1,0,12,8,710
2026-02-03,12:10,12:25,AS01,as,AS01_PI,AS01_PI_RUN2_O2.csv,light,run2,0,1,1,0
2026-02-03,12:10,12:25,CS04,cs,CS04_PI,CS04_PI_RUN2_O2.csv,light,run2,0,2,1,0
2026-02-03,12:10,12:25,DA03,da,DA03_PI,DA03_PI_RUN2_O2.csv,light,run2,0,3,1,0
2026-02-03,12:10,12:25,SF03,sf,SF03_PI,SF03_PI_RUN2_O2.csv,light,run2,0,4,1,0
2026-02-03,12:10,12:25,BLANKA01_RUN2,blank,BLANKA01_PI_RUN2,BLANKA01_PI_RUN2_O2.csv,light,run2,1,5,1,0
2026-02-03,12:10,12:25,AV01,av,AV01_PI,AV01_PI_RUN2_O2.csv,light,run2,0,6,1,0
2026-02-03,12:10,12:25,SF04,sf,SF04_PI,SF04_PI_RUN2_O2.csv,light,run2,0,7,1,0
2026-02-03,12:10,12:25,CS01,cs,CS01_PI,CS01_PI_RUN2_O2.csv,light,run2,0,8,1,0
2026-02-03,12:10,12:25,BLANKA02_RUN2,blank,BLANKA02_PI_RUN2,BLANKA02_PI_RUN2_O2.csv,light,run2,1,9,1,0
2026-02-03,12:10,12:25,AV04,av,AV04_PI,AV04_PI_RUN2_O2.csv,light,run2,0,10,1,0
2026-02-03,12:10,12:25,GS01,gs,GS01_PI,GS01_PI_RUN2_O2.csv,light,run2,0,11,1,0
2026-02-03,12:10,12:25,AS02,as,AS02_PI,AS02_PI_RUN2_O2.csv,light,run2,0,12,1,0
2026-02-03,12:28,12:43,AS01,as,AS01_PI,AS01_PI_RUN2_O2.csv,light,run2,0,1,2,98
2026-02-03,12:28,12:43,CS04,cs,CS04_PI,CS04_PI_RUN2_O2.csv,light,run2,0,2,2,98
2026-02-03,12:28,12:43,DA03,da,DA03_PI,DA03_PI_RUN2_O2.csv,light,run2,0,3,2,98
2026-02-03,12:28,12:43,SF03,sf,SF03_PI,SF03_PI_RUN2_O2.csv,light,run2,0,4,2,98
2026-02-03,12:28,12:43,BLANKA01_RUN2,blank,BLANKA01_PI_RUN2,BLANKA01_PI_RUN2_O2.csv,light,run2,1,5,2,98
2026-02-03,12:28,12:43,AV01,av,AV01_PI,AV01_PI_RUN2_O2.csv,light,run2,0,6,2,98
2026-02-03,12:28,12:43,SF04,sf,SF04_PI,SF04_PI_RUN2_O2.csv,light,run2,0,7,2,98
2026-02-03,12:28,12:43,CS01,cs,CS01_PI,CS01_PI_RUN2_O2.csv,light,run2,0,8,2,98
2026-02-03,12:28,12:43,BLANKA02_RUN2,blank,BLANKA02_PI_RUN2,BLANKA02_PI_RUN2_O2.csv,light,run2,1,9,2,98
2026-02-03,12:28,12:43,AV04,av,AV04_PI,AV04_PI_RUN2_O2.csv,light,run2,0,10,2,98
2026-02-03,12:28,12:43,GS01,gs,GS01_PI,GS01_PI_RUN2_O2.csv,light,run2,0,11,2,98
2026-02-03,12:28,12:43,AS02,as,AS02_PI,AS02_PI_RUN2_O2.csv,light,run2,0,12,2,98
2026-02-03,12:45,13:00,AS01,as,AS01_PI,AS01_PI_RUN2_O2.csv,light,run2,0,1,3,202
2026-02-03,12:45,13:00,CS04,cs,CS04_PI,CS04_PI_RUN2_O2.csv,light,run2,0,2,3,202
2026-02-03,12:45,13:00,DA03,da,DA03_PI,DA03_PI_RUN2_O2.csv,light,run2,0,3,3,202
2026-02-03,12:45,13:00,SF03,sf,SF03_PI,SF03_PI_RUN2_O2.csv,light,run2,0,4,3,202
2026-02-03,12:45,13:00,BLANKA01_RUN2,blank,BLANKA01_PI_RUN2,BLANKA01_PI_RUN2_O2.csv,light,run2,1,5,3,202
2026-02-03,12:45,13:00,AV01,av,AV01_PI,AV01_PI_RUN2_O2.csv,light,run2,0,6,3,202
2026-02-03,12:45,13:00,SF04,sf,SF04_PI,SF04_PI_RUN2_O2.csv,light,run2,0,7,3,202
2026-02-03,12:45,13:00,CS01,cs,CS01_PI,CS01_PI_RUN2_O2.csv,light,run2,0,8,3,202
2026-02-03,12:45,13:00,BLANKA02_RUN2,blank,BLANKA02_PI_RUN2,BLANKA02_PI_RUN2_O2.csv,light,run2,1,9,3,202
2026-02-03,12:45,13:00,AV04,av,AV04_PI,AV04_PI_RUN2_O2.csv,light,run2,0,10,3,202
2026-02-03,12:45,13:00,GS01,gs,GS01_PI,GS01_PI_RUN2_O2.csv,light,run2,0,11,3,202
2026-02-03,12:45,13:00,AS02,as,AS02_PI,AS02_PI_RUN2_O2.csv,light,run2,0,12,3,202
2026-02-03,13:03,13:18,AS01,as,AS01_PI,AS01_PI_RUN2_O2.csv,light,run2,0,1,4,298
2026-02-03,13:03,13:18,CS04,cs,CS04_PI,CS04_PI_RUN2_O2.csv,light,run2,0,2,4,298
2026-02-03,13:03,13:18,DA03,da,DA03_PI,DA03_PI_RUN2_O2.csv,light,run2,0,3,4,298
2026-02-03,13:03,13:18,SF03,sf,SF03_PI,SF03_PI_RUN2_O2.csv,light,run2,0,4,4,298
2026-02-03,13:03,13:18,BLANKA01_RUN2,blank,BLANKA01_PI_RUN2,BLANKA01_PI_RUN2_O2.csv,light,run2,1,5,4,298
2026-02-03,13:03,13:18,AV01,av,AV01_PI,AV01_PI_RUN2_O2.csv,light,run2,0,6,4,298
2026-02-03,13:03,13:18,SF04,sf,SF04_PI,SF04_PI_RUN2_O2.csv,light,run2,0,7,4,298
2026-02-03,13:03,13:18,CS01,cs,CS01_PI,CS01_PI_RUN2_O2.csv,light,run2,0,8,4,298
2026-02-03,13:03,13:18,BLANKA02_RUN2,blank,BLANKA02_PI_RUN2,BLANKA02_PI_RUN2_O2.csv,light,run2,1,9,4,298
2026-02-03,13:03,13:18,AV04,av,AV04_PI,AV04_PI_RUN2_O2.csv,light,run2,0,10,4,298
2026-02-03,13:03,13:18,GS01,gs,GS01_PI,GS01_PI_RUN2_O2.csv,light,run2,0,11,4,298
2026-02-03,13:03,13:18,AS02,as,AS02_PI,AS02_PI_RUN2_O2.csv,light,run2,0,12,4,298
2026-02-03,13:22,13:37,AS01,as,AS01_PI,AS01_PI_RUN2_O2.csv,light,run2,0,1,5,397
2026-02-03,13:22,13:37,CS04,cs,CS04_PI,CS04_PI_RUN2_O2.csv,light,run2,0,2,5,397
2026-02-03,13:22,13:37,DA03,da,DA03_PI,DA03_PI_RUN2_O2.csv,light,run2,0,3,5,397
2026-02-03,13:22,13:37,SF03,sf,SF03_PI,SF03_PI_RUN2_O2.csv,light,run2,0,4,5,397
2026-02-03,13:22,13:37,BLANKA01_RUN2,blank,BLANKA01_PI_RUN2,BLANKA01_PI_RUN2_O2.csv,light,run2,1,5,5,397
2026-02-03,13:22,13:37,AV01,av,AV01_PI,AV01_PI_RUN2_O2.csv,light,run2,0,6,5,397
2026-02-03,13:22,13:37,SF04,sf,SF04_PI,SF04_PI_RUN2_O2.csv,light,run2,0,7,5,397
2026-02-03,13:22,13:37,CS01,cs,CS01_PI,CS01_PI_RUN2_O2.csv,light,run2,0,8,5,397
2026-02-03,13:22,13:37,BLANKA02_RUN2,blank,BLANKA02_PI_RUN2,BLANKA02_PI_RUN2_O2.csv,light,run2,1,9,5,397
2026-02-03,13:22,13:37,AV04,av,AV04_PI,AV04_PI_RUN2_O2.csv,light,run2,0,10,5,397
2026-02-03,13:22,13:37,GS01,gs,GS01_PI,GS01_PI_RUN2_O2.csv,light,run2,0,11,5,397
2026-02-03,13:22,13:37,AS02,as,AS02_PI,AS02_PI_RUN2_O2.csv,light,run2,0,12,5,397
2026-02-03,13:55,14:10,AS01,as,AS01_PI,AS01_PI_RUN2_O2.csv,light,run2,0,1,6,490
2026-02-03,13:55,14:10,CS04,cs,CS04_PI,CS04_PI_RUN2_O2.csv,light,run2,0,2,6,490
2026-02-03,13:55,14:10,DA03,da,DA03_PI,DA03_PI_RUN2_O2.csv,light,run2,0,3,6,490
2026-02-03,13:55,14:10,SF03,sf,SF03_PI,SF03_PI_RUN2_O2.csv,light,run2,0,4,6,490
